"Gender","Age","Attitude","Points","SeekingMeaning","RelatingIdeas","UseOfEvidence","LackOfPurpose","UnrelatedMemorising","SyllabusBoundness","OrganizedStudying","TimeManagement"
"F",53,37,25,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",55,31,12,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",49,25,24,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",53,35,10,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",49,37,22,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",38,38,21,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",50,35,21,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",37,29,31,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",37,38,24,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",42,21,26,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",37,39,31,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",34,38,31,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",34,24,23,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",34,30,25,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",35,26,21,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",33,41,31,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",32,26,20,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
